ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12258601,JE100123,12/31/2020 11:17:00 PM,003XX N CENTRAL AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA TRAIN,false,false,1512,015,29,25,14,1138977,1901868,2020,01/07/2021 03:41:47 PM,41.886843497,-87.765098817,"(41.886843497, -87.765098817)"
12261338,JE102842,12/31/2020 11:15:00 PM,003XX N CENTRAL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,CTA TRAIN,false,false,1512,015,29,25,14,1138977,1901868,2020,01/07/2021 03:41:47 PM,41.886843497,-87.765098817,"(41.886843497, -87.765098817)"
12259102,JE100772,12/31/2020 05:30:00 PM,007XX N CICERO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA BUS STOP,false,true,1111,011,28,25,08B,1144216,1904687,2020,01/07/2021 03:41:47 PM,41.894482351,-87.745788678,"(41.894482351, -87.745788678)"
12259405,JE101037,12/31/2020 05:00:00 PM,015XX N CLYBOURN AVE,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,1822,018,2,8,06,1170470,1910783,2020,01/07/2021 03:41:47 PM,41.910676312,-87.649187069,"(41.910676312, -87.649187069)"
12258819,JE100438,12/31/2020 04:00:00 PM,075XX S COTTAGE GROVE AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA BUS,false,false,0624,006,6,69,04B,1182866,1855292,2020,01/07/2021 03:41:47 PM,41.758125035,-87.605376887,"(41.758125035, -87.605376887)"
12258275,JD474679,12/31/2020 03:30:00 PM,015XX N DAMEN AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA PLATFORM,true,false,1424,014,1,24,04A,1162780,1910414,2020,01/07/2021 03:41:47 PM,41.90982859,-87.677447594,"(41.90982859, -87.677447594)"
12258112,JD474270,12/31/2020 08:38:00 AM,001XX N ASHLAND AVE,0560,ASSAULT,SIMPLE,CTA BUS,false,false,1224,012,27,28,08A,1165722,1901296,2020,01/07/2021 03:41:47 PM,41.884745905,-87.666900126,"(41.884745905, -87.666900126)"
12257921,JD474269,12/31/2020 08:30:00 AM,023XX S MICHIGAN AVE,0460,BATTERY,SIMPLE,CTA BUS,false,false,0131,001,3,33,08B,1177575,1888968,2020,01/07/2021 03:41:47 PM,41.850656285,-87.623748793,"(41.850656285, -87.623748793)"
12257897,JD474276,12/31/2020 04:00:00 AM,011XX S STATE ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,0123,001,4,32,06,1176510,1895564,2020,01/07/2021 03:41:47 PM,41.868780233,-87.627458476,"(41.868780233, -87.627458476)"
12257771,JD474019,12/30/2020 09:10:00 PM,005XX W LAKE ST,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA STATION,true,false,1214,012,42,28,08B,1172574,1901698,2020,01/06/2021 03:40:18 PM,41.885700244,-87.641726854,"(41.885700244, -87.641726854)"
12259196,JE100694,12/30/2020 07:00:00 PM,026XX N MILWAUKEE AVE,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,1412,014,35,22,06,1154441,1917479,2020,01/06/2021 03:40:18 PM,41.92938643,-87.707892425,"(41.92938643, -87.707892425)"
12257478,JD473952,12/30/2020 07:00:00 PM,079XX S COTTAGE GROVE AVE,0820,THEFT,$500 AND UNDER,CTA BUS,false,false,0624,006,6,44,06,1182930,1852635,2020,01/06/2021 03:40:18 PM,41.750832464,-87.605224746,"(41.750832464, -87.605224746)"
12257443,JD473945,12/30/2020 04:45:00 PM,002XX S WABASH AVE,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,0113,001,42,32,06,1176845,1899365,2020,01/06/2021 03:40:18 PM,41.879202837,-87.626113652,"(41.879202837, -87.626113652)"
12257169,JD473474,12/30/2020 11:29:00 AM,075XX N PAULINA ST,051A,ASSAULT,AGGRAVATED - HANDGUN,CTA TRAIN,false,false,2422,024,49,1,04A,1163690,1950023,2020,01/06/2021 03:40:18 PM,42.018498254,-87.672983233,"(42.018498254, -87.672983233)"
12257171,JD473275,12/30/2020 05:00:00 AM,004XX N STATE ST,0313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,CTA BUS STOP,false,false,1834,018,42,8,03,1176292,1903441,2020,01/06/2021 03:40:18 PM,41.890400093,-87.628021143,"(41.890400093, -87.628021143)"
12256993,JD473186,12/30/2020 12:15:00 AM,018XX W 74TH ST,0545,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA PARKING LOT / GARAGE / OTHER PROPERTY,false,false,0735,007,17,67,08A,1165466,1855611,2020,01/06/2021 03:40:18 PM,41.759386759,-87.669137056,"(41.759386759, -87.669137056)"
12256963,JD473105,12/29/2020 08:15:00 PM,049XX S WESTERN AVE,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,CTA TRAIN,false,false,0922,009,15,63,03,1161186,1872062,2020,01/05/2021 03:40:53 PM,41.80462016,-87.684368169,"(41.80462016, -87.684368169)"
12256867,JD472878,12/29/2020 05:10:00 PM,047XX W LAKE ST,0810,THEFT,OVER $500,CTA TRAIN,false,false,1113,011,28,25,06,1144640,1901791,2020,01/05/2021 03:40:53 PM,41.886527415,-87.744304447,"(41.886527415, -87.744304447)"
12256897,JD472510,12/29/2020 12:30:00 PM,002XX S STATE ST,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,CTA TRAIN,false,false,0113,001,42,32,04B,1176417,1899156,2020,01/05/2021 03:40:53 PM,41.878638996,-87.627691486,"(41.878638996, -87.627691486)"
12256562,JD472664,12/29/2020 08:00:00 AM,005XX S PULASKI RD,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,1132,011,24,26,08B,1149812,1897228,2020,01/05/2021 03:40:53 PM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
12256175,JD472215,12/29/2020 04:27:00 AM,075XX N PAULINA ST,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA PLATFORM,true,false,2422,024,49,1,04A,1163690,1950023,2020,01/05/2021 03:40:53 PM,42.018498254,-87.672983233,"(42.018498254, -87.672983233)"
12256519,JD472077,12/28/2020 09:08:00 PM,019XX N WESTERN AVE,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,1434,014,32,22,08B,1160061,1912686,2020,01/04/2021 03:40:37 PM,41.916119748,-87.687373212,"(41.916119748, -87.687373212)"
12256083,JD472050,12/28/2020 06:19:00 PM,005XX S PULASKI RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,CTA PLATFORM,true,false,1132,011,24,26,11,1149812,1897228,2020,01/31/2021 03:39:42 PM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
12255958,JD471983,12/28/2020 05:58:00 PM,043XX N CICERO AVE,1330,CRIMINAL TRESPASS,TO LAND,CTA STATION,true,false,1624,016,45,15,26,1143588,1928406,2020,01/04/2021 03:40:37 PM,41.95958143,-87.747499982,"(41.95958143, -87.747499982)"
12255816,JD471885,12/28/2020 12:00:00 PM,046XX N BROADWAY,0810,THEFT,OVER $500,CTA STATION,false,false,1913,019,46,3,06,1167942,1930944,2020,01/04/2021 03:40:37 PM,41.966053999,-87.657890403,"(41.966053999, -87.657890403)"
12255508,JD471479,12/28/2020 11:30:00 AM,049XX N MILWAUKEE AVE,0560,ASSAULT,SIMPLE,CTA STATION,true,false,1623,016,45,11,08A,1139431,1932207,2020,01/04/2021 03:40:37 PM,41.97008868,-87.762690091,"(41.97008868, -87.762690091)"
