ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13707847,JJ100007,12/31/2024 11:42:00 PM,029XX W CHICAGO AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS,false,false,1211,012,36,24,14,1156857,1905197,2024,01/08/2025 03:42:09 PM,41.895634912,-87.699347915,"(41.895634912, -87.699347915)"
13709530,JH561664,12/31/2024 07:30:00 PM,001XX W LAKE ST,0460,BATTERY,SIMPLE,CTA PLATFORM,false,false,0122,001,42,32,08B,1175301,1901735,2024,01/08/2025 03:42:09 PM,41.885741029,-87.631711749,"(41.885741029, -87.631711749)"
13708260,JJ100533,12/31/2024 07:15:00 PM,033XX W BELMONT AVE,0560,ASSAULT,SIMPLE,CTA TRAIN,false,false,1412,014,35,21,08A,1153353,1921084,2024,01/08/2025 03:42:09 PM,41.939300539,-87.711794487,"(41.939300539, -87.711794487)"
13707575,JH561527,12/31/2024 05:04:00 PM,111XX S WENTWORTH AVE,0558,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,CTA BUS STOP,true,false,0522,005,9,49,04A,1176916,1831255,2024,01/08/2025 03:42:09 PM,41.692300442,-87.627904784,"(41.692300442, -87.627904784)"
13707572,JH561472,12/31/2024 03:14:00 PM,039XX W FULLERTON AVE,0460,BATTERY,SIMPLE,CTA BUS STOP,false,false,2525,025,35,22,08B,1149898,1915670,2024,01/08/2025 03:42:09 PM,41.924512097,-87.724633925,"(41.924512097, -87.724633925)"
13707601,JH561469,12/31/2024 12:30:00 PM,002XX W 47TH ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,false,false,0925,009,20,37,03,1175476,1873816,2024,01/08/2025 03:42:09 PM,41.809125265,-87.631906508,"(41.809125265, -87.631906508)"
13707835,JH561236,12/31/2024 12:22:00 PM,001XX W 35TH ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,false,false,0915,009,11,34,03,1175739,1881773,2024,01/08/2025 03:42:09 PM,41.830954079,-87.630703226,"(41.830954079, -87.630703226)"
13707102,JH560900,12/31/2024 04:30:00 AM,077XX N HASKINS AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA PARKING LOT / GARAGE / OTHER PROPERTY,false,false,2422,024,49,1,14,1163173,1951318,2024,01/08/2025 03:42:09 PM,42.022062685,-87.67484904,"(42.022062685, -87.67484904)"
13707047,JH560845,12/31/2024 01:39:00 AM,0000X W 87TH ST,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,0634,006,21,44,08B,1177549,1847286,2024,01/08/2025 03:42:09 PM,41.736277427,-87.62510451,"(41.736277427, -87.62510451)"
13707455,JH561325,12/31/2024 01:25:00 AM,003XX S DEARBORN ST,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA PLATFORM,false,false,0113,001,4,32,08B,1175985,1898837,2024,01/08/2025 03:42:09 PM,41.877773377,-87.629287293,"(41.877773377, -87.629287293)"
13708613,JJ100870,12/31/2024 01:15:00 AM,015XX W JARVIS AVE,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,2423,024,49,1,06,1164799,1949134,2024,01/08/2025 03:42:09 PM,42.016035274,-87.668927703,"(42.016035274, -87.668927703)"
13707078,JH560822,12/31/2024 12:30:00 AM,0000X W 79TH ST,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,0623,006,6,44,08B,1177483,1852629,2024,01/08/2025 03:42:09 PM,41.750940757,-87.625185222,"(41.750940757, -87.625185222)"
13707099,JH560816,12/31/2024 12:07:00 AM,011XX S STATE ST,0460,BATTERY,SIMPLE,CTA TRAIN,false,true,0123,001,4,32,08B,1176517,1895340,2024,01/08/2025 03:42:09 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
13707817,JH561801,12/31/2024 12:00:00 AM,033XX W LAWRENCE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,false,false,1713,017,33,14,14,1153007,1931688,2024,01/07/2025 03:42:52 PM,41.968405527,-87.712783941,"(41.968405527, -87.712783941)"
13706916,JH560719,12/30/2024 09:19:00 PM,006XX S STATE ST,2020,NARCOTICS,POSSESS - AMPHETAMINES,CTA TRAIN,true,false,0123,001,4,32,18,1176452,1897651,2024,01/07/2025 03:42:52 PM,41.874508398,-87.627608412,"(41.874508398, -87.627608412)"
13706694,JH560381,12/30/2024 03:56:00 PM,016XX N CENTRAL AVE,2026,NARCOTICS,POSSESS - PCP,CTA BUS STOP,false,false,2531,025,29,25,18,1138792,1910256,2024,01/07/2025 03:42:52 PM,41.909864553,-87.765574348,"(41.909864553, -87.765574348)"
