ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11943488,JD106257,12/31/2019 10:30:00 PM,012XX W ROOSEVELT RD,0820,THEFT,$500 AND UNDER,CTA PLATFORM,false,false,1231,012,28,28,06,1168473,1894848,2019,01/09/2020 11:44:44 PM,41.866993033,-87.656984681,"(41.866993033, -87.656984681)"
11937991,JC567000,12/31/2019 10:13:00 PM,011XX S STATE ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,CTA PLATFORM,false,false,0123,001,4,32,24,1176517,1895340,2019,01/07/2020 06:57:13 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
11938387,JC566892,12/31/2019 07:54:00 PM,005XX N STATE ST,0330,ROBBERY,AGGRAVATED,CTA TRAIN,false,false,1834,018,42,8,03,1176278,1903807,2019,01/07/2020 06:57:13 PM,41.891404732,-87.628061509,"(41.891404732, -87.628061509)"
11938469,JD100607,12/31/2019 06:20:00 PM,001XX N DEARBORN ST,0870,THEFT,POCKET-PICKING,CTA PLATFORM,false,false,0111,001,42,32,06,1175928,1900994,2019,01/07/2020 06:57:13 PM,41.883693593,-87.629431622,"(41.883693593, -87.629431622)"
11937847,JC566633,12/31/2019 02:00:00 PM,002XX S DEARBORN ST,0870,THEFT,POCKET-PICKING,CTA STATION,false,false,0113,001,42,32,06,1175970,1899210,2019,01/07/2020 06:57:13 PM,41.878797248,-87.629331135,"(41.878797248, -87.629331135)"
11937582,JC566546,12/31/2019 12:40:00 PM,0000X N DEARBORN ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,0112,001,42,32,06,1175937,1900516,2019,01/07/2020 06:57:13 PM,41.882381731,-87.629412971,"(41.882381731, -87.629412971)"
11937580,JC466547,12/31/2019 12:40:00 PM,0000X N DEARBORN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA TRAIN,false,false,0112,001,42,32,11,1175937,1900516,2019,01/07/2020 06:57:13 PM,41.882381731,-87.629412971,"(41.882381731, -87.629412971)"
11937505,JC566495,12/31/2019 11:30:00 AM,011XX W GRANVILLE AVE,0810,THEFT,OVER $500,CTA TRAIN,false,false,2433,024,48,77,06,1167543,1941332,2019,01/07/2020 06:57:13 PM,41.994567578,-87.65905678,"(41.994567578, -87.65905678)"
11938161,JC566241,12/31/2019 09:30:00 AM,0000X E 35TH ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,CTA PLATFORM,false,false,0211,002,3,35,04B,1177046,1881845,2019,01/07/2020 06:57:13 PM,41.831122218,-87.62590563,"(41.831122218, -87.62590563)"
11937340,JC566062,12/31/2019 01:30:00 AM,011XX S STATE ST,0460,BATTERY,SIMPLE,CTA STATION,false,false,0123,001,4,32,08B,1176517,1895340,2019,01/07/2020 06:57:13 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
