ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13324711,JG561206,12/31/2023 06:50:00 PM,005XX S LA SALLE ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,CTA STATION,false,false,0123,001,34,32,26,1175330,1897939,2023,12/21/2024 03:40:46 PM,41.875323928,-87.631719215,"(41.875323928, -87.631719215)"
13324539,JG561112,12/31/2023 04:46:00 PM,006XX S STATE ST,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,CTA TRAIN,true,false,0123,001,4,32,24,1176452,1897617,2023,12/21/2024 03:40:46 PM,41.8744151,-87.627609439,"(41.8744151, -87.627609439)"
13325324,JH100631,12/31/2023 04:00:00 PM,030XX W 26TH ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA BUS STOP,false,true,1033,010,25,30,04B,1156310,1886588,2023,12/21/2024 03:40:46 PM,41.844580965,-87.701859714,"(41.844580965, -87.701859714)"
13397903,JH186302,12/31/2023 01:50:00 PM,0000X W 87TH ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA TRAIN,false,false,0634,006,21,44,14,1177549,1847286,2023,12/21/2024 03:40:46 PM,41.736277427,-87.62510451,"(41.736277427, -87.62510451)"
13324392,JG560790,12/31/2023 12:00:00 PM,008XX W BELMONT AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA BUS,false,false,1933,019,44,6,14,1169888,1921449,2023,12/21/2024 03:40:46 PM,41.939957059,-87.651013319,"(41.939957059, -87.651013319)"
13324187,JG560540,12/31/2023 05:30:00 AM,047XX N KIMBALL AVE,031A,ROBBERY,ARMED - HANDGUN,CTA PARKING LOT / GARAGE / OTHER PROPERTY,false,false,1713,017,33,14,03,1152858,1931371,2023,12/21/2024 03:40:46 PM,41.967538619,-87.713340244,"(41.967538619, -87.713340244)"
13324023,JG560446,12/31/2023 01:47:00 AM,079XX S STATE ST,0330,ROBBERY,AGGRAVATED,CTA PLATFORM,true,false,0623,006,6,44,03,1177660,1852546,2023,12/21/2024 03:40:46 PM,41.750708996,-87.624539117,"(41.750708996, -87.624539117)"
13324648,JG560587,12/31/2023 01:30:00 AM,013XX W ESTES AVE,0810,THEFT,OVER $500,CTA TRAIN,false,false,2423,024,49,1,06,1165969,1947521,2023,12/21/2024 03:40:46 PM,42.011584178,-87.664668844,"(42.011584178, -87.664668844)"
13324015,JG560341,12/30/2023 10:50:00 PM,001XX W LAKE ST,0460,BATTERY,SIMPLE,CTA PLATFORM,false,false,0122,001,42,32,08B,1175334,1901735,2023,12/21/2024 03:40:46 PM,41.885740288,-87.631590568,"(41.885740288, -87.631590568)"
13323894,JG560193,12/30/2023 07:42:00 PM,005XX S KEDZIE AVE,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,CTA TRAIN,false,false,1134,011,24,27,03,1155124,1897322,2023,12/21/2024 03:40:46 PM,41.874060099,-87.705924314,"(41.874060099, -87.705924314)"
13329299,JH105152,12/30/2023 06:30:00 PM,079XX S COTTAGE GROVE AVE,0820,THEFT,$500 AND UNDER,CTA BUS STOP,false,false,0624,006,6,44,06,1182930,1852635,2023,12/21/2024 03:40:46 PM,41.750832464,-87.605224746,"(41.750832464, -87.605224746)"
