ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12937250,JF527652,12/30/2022 05:12:00 AM,072XX S DR MARTIN LUTHER KING JR DR,0560,ASSAULT,SIMPLE,CTA BUS,false,false,0323,003,6,69,08A,1180161,1857127,2022,01/06/2023 03:40:48 PM,41.763222856,-87.615234209,"(41.763222856, -87.615234209)"
12936594,JF527149,12/30/2022 04:43:00 AM,058XX W MADISON ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS,false,false,1513,015,29,25,14,1137612,1899424,2022,01/06/2023 03:40:48 PM,41.880161534,-87.770170439,"(41.880161534, -87.770170439)"
12936519,JF527084,12/30/2022 01:51:00 AM,058XX N CUMBERLAND AVE,0820,THEFT,$500 AND UNDER,CTA PARKING LOT / GARAGE / OTHER PROPERTY,false,false,1614,016,41,76,06,1119306,1937378,2022,01/06/2023 03:40:48 PM,41.984622486,-87.836582104,"(41.984622486, -87.836582104)"
12936446,JF527025,12/29/2022 11:13:00 PM,002XX W GARFIELD BLVD,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,CTA PLATFORM,false,false,0225,002,3,37,26,1175882,1868510,2022,01/14/2023 03:40:33 PM,41.794555987,-87.630576503,"(41.794555987, -87.630576503)"
12936109,JF526680,12/29/2022 04:50:00 PM,055XX S PRAIRIE AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA TRAIN,false,false,0231,002,3,40,04A,1178984,1868333,2022,01/05/2023 03:42:58 PM,41.794000134,-87.619207021,"(41.794000134, -87.619207021)"
12937216,JF527229,12/29/2022 04:30:00 PM,052XX N WESTERN AVE,0870,THEFT,POCKET-PICKING,CTA BUS,false,false,2012,020,40,4,06,1159410,1934546,2022,01/05/2023 03:42:58 PM,41.976118341,-87.689161369,"(41.976118341, -87.689161369)"
12936088,JF526585,12/29/2022 04:05:00 PM,001XX W CERMAK RD,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,CTA PLATFORM,true,false,0914,009,25,34,18,1175616,1889758,2022,01/05/2023 03:42:58 PM,41.852868298,-87.63091491,"(41.852868298, -87.63091491)"
12947727,JG110768,12/29/2022 04:00:00 PM,026XX W 63RD ST,0810,THEFT,OVER $500,CTA BUS,false,false,0825,008,16,66,06,1160040,1862784,2022,11/15/2023 03:41:31 PM,41.779183752,-87.688826305,"(41.779183752, -87.688826305)"
12936062,JF526583,12/29/2022 04:00:00 PM,0000X W CTA OHARE PLATFORM ST,0460,BATTERY,SIMPLE,CTA STATION,false,false,1654,016,41,76,08B,1100955,1934905,2022,01/05/2023 03:42:58 PM,41.978108446,-87.904122758,"(41.978108446, -87.904122758)"
12939757,JG101699,12/29/2022 01:30:00 PM,023XX S DR MARTIN LUTHER KING JR DR,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,CTA BUS STOP,false,false,0132,001,4,33,11,1178880,1889112,2022,11/15/2023 03:41:31 PM,41.85102174,-87.618954852,"(41.85102174, -87.618954852)"
12935470,JF525848,12/29/2022 12:59:00 AM,011XX W WILSON AVE,0460,BATTERY,SIMPLE,CTA STATION,true,false,1913,019,46,3,08B,1167625,1930696,2022,01/05/2023 03:42:58 PM,41.96538033,-87.659063123,"(41.96538033, -87.659063123)"
12935496,JF525794,12/28/2022 11:10:00 PM,028XX W 47TH ST,0820,THEFT,$500 AND UNDER,CTA BUS,false,false,0922,009,15,58,06,1158411,1873373,2022,01/04/2023 03:41:19 PM,41.808274761,-87.69450995,"(41.808274761, -87.69450995)"
12935487,JF525786,12/28/2022 10:50:00 PM,0000X S STATE ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA PLATFORM,false,false,0112,001,42,32,04B,1176390,1900219,2022,01/04/2023 03:41:19 PM,41.881556538,-87.627758535,"(41.881556538, -87.627758535)"
