ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11192237,JA569460,12/31/2017 11:20:00 PM,013XX W MORSE AVE,0460,BATTERY,SIMPLE,CTA TRAIN,true,false,2431,024,49,1,08B,1165794,1946184,2017,05/04/2018 03:51:04 PM,42.007919177,-87.665351128,"(42.007919177, -87.665351128)"
11192209,JB100006,12/31/2017 11:14:00 PM,011XX W ARGYLE ST,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,CTA PLATFORM,true,false,2033,020,48,3,26,1167773,1933570,2017,05/04/2018 03:51:04 PM,41.973263481,-87.658435722,"(41.973263481, -87.658435722)"
11192086,JA569199,12/31/2017 05:27:00 PM,015XX N WESTERN AVE,0560,ASSAULT,SIMPLE,CTA BUS STOP,true,false,1423,014,1,24,08A,1160127,1910271,2017,05/04/2018 03:51:04 PM,41.909491442,-87.687197573,"(41.909491442, -87.687197573)"
11193548,JA569052,12/31/2017 01:00:00 PM,046XX N BROADWAY,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,CTA PLATFORM,false,false,1913,019,46,3,04B,1167942,1930944,2017,05/04/2018 03:51:04 PM,41.966053999,-87.657890403,"(41.966053999, -87.657890403)"
11194080,JA568870,12/31/2017 12:10:00 PM,014XX W 69TH ST,0483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,CTA BUS,false,false,0725,007,17,67,04B,1168105,1858995,2017,05/04/2018 03:51:04 PM,41.768616578,-87.659368009,"(41.768616578, -87.659368009)"
11191709,JA568671,12/31/2017 06:00:00 AM,005XX S KEDZIE AVE,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,1134,011,24,27,06,1155124,1897322,2017,05/04/2018 03:51:04 PM,41.874060099,-87.705924314,"(41.874060099, -87.705924314)"
11195425,JB104493,12/31/2017 01:30:00 AM,009XX W ADDISON ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,1923,019,44,6,06,1169188,1924102,2017,05/04/2018 03:51:04 PM,41.947252263,-87.65350869,"(41.947252263, -87.65350869)"
11194861,JA568685,12/31/2017 12:00:00 AM,011XX S STATE ST,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,0123,001,2,32,08B,1176517,1895340,2017,05/04/2018 03:51:04 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
11191537,JA568432,12/30/2017 09:09:00 PM,006XX S STATE ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,CTA PLATFORM,false,false,0123,001,2,32,08B,1176456,1897484,2017,05/04/2018 03:51:04 PM,41.874050049,-87.627598768,"(41.874050049, -87.627598768)"
11191533,JA568412,12/30/2017 08:53:00 PM,005XX N STATE ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,CTA PLATFORM,false,false,1831,018,42,8,04B,1176277,1903831,2017,05/04/2018 03:51:04 PM,41.891470611,-87.628064457,"(41.891470611, -87.628064457)"
11191412,JA568252,12/30/2017 05:50:00 PM,041XX W IRVING PARK RD,0320,ROBBERY,STRONGARM - NO WEAPON,CTA STATION,false,false,1732,017,39,16,03,1148252,1926266,2017,05/04/2018 03:51:04 PM,41.953620328,-87.730408248,"(41.953620328, -87.730408248)"
