station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
41160,Clinton-Lake,1/1/22,1183.2,606.2,426.4,30011
41690,Cermak-McCormick Place,1/1/22,524,434.2,325.6,14803
41120,35-Bronzeville-IIT,1/1/22,549.9,361.4,298.6,14848
40300,Indiana,1/1/22,246.2,114,94.8,6214
41270,43rd,1/1/22,312.1,196.6,169,8382
41080,47th-South Elevated,1/1/22,357,212.4,183.8,9477
40130,51st,1/1/22,348.9,218.8,189,9365
40510,Garfield-South Elevated,1/1/22,390.4,303.6,233,10882
41140,King Drive,1/1/22,159.6,73,65.8,4045
40720,East 63rd-Cottage Grove,1/1/22,337.5,134.2,108.2,8299
40940,Halsted/63rd,1/1/22,181.5,111.4,80.2,4769
40290,Ashland/63rd,1/1/22,365.1,233,196.4,9814
41290,Kimball,1/1/22,1615.3,1041.4,832.8,43292
41180,Kedzie-Brown,1/1/22,777.3,544.4,410.8,21100
40870,Francisco,1/1/22,500.2,264,227.6,12963
41010,Rockwell,1/1/22,496.9,268,231,12930
41480,Western-Brown,1/1/22,1276.8,840.4,635,34190
40090,Damen-Brown,1/1/22,942.6,503.2,348,24051
41500,Montrose-Brown,1/1/22,750.3,472.8,357,19905
41460,Irving Park-Brown,1/1/22,826.3,482.4,322.6,21378
41440,Addison-Brown,1/1/22,676,335.2,280.2,17273
41310,Paulina,1/1/22,862,557,389.2,22834
40360,Southport,1/1/22,949.7,824.2,581,26969
41210,Wellington,1/1/22,933.7,483.8,317.4,23614
40530,Diversey,1/1/22,1673.9,1010,683.4,43619
40660,Armitage,1/1/22,1471.7,904.8,619.6,38528
40800,Sedgwick,1/1/22,1275.7,858.4,609.4,34128
40710,Chicago/Franklin,1/1/22,2077,1152.8,806,53411
40460,Merchandise Mart,1/1/22,1613.9,693,467.6,39695
40930,Midway Airport,1/1/22,2791.2,1303.8,1217.2,71220
40960,Pulaski-Orange,1/1/22,1915.4,757.6,583.2,46928
41150,Kedzie-Midway,1/1/22,1399,690.8,523.2,35450
40310,Western-Orange,1/1/22,1407.3,705.4,604,36101
40120,35th/Archer,1/1/22,1046.9,503,402,26509
41060,Ashland-Orange,1/1/22,678.1,353.8,293.6,17478
41130,Halsted-Orange,1/1/22,818.9,405.2,291.2,20679
40730,Washington/Wells,1/1/22,1930.1,451,317.4,44375
40040,Quincy/Wells,1/1/22,1618.3,525.8,473.2,38979
40160,LaSalle/Van Buren,1/1/22,731.8,223,175,17358
40850,Library,1/1/22,1440.7,668,503.2,36110
40680,Adams/Wabash,1/1/22,2046.6,1002.6,772.8,51855
41700,Washington/Wabash,1/1/22,3636.9,2204,1680.4,95796
40260,State/Lake,1/1/22,3267.5,2532.2,1952,91038
40380,Clark/Lake,1/1/22,4206.8,2030.8,1625,106622
40900,Howard,2/1/22,2235.2,1601.8,1296.3,56295
41190,Jarvis,2/1/22,685.9,572,437.8,17757
40100,Morse,2/1/22,1878.7,1387.8,1115.5,47587
41300,Loyola,2/1/22,2495.2,2266.5,1543.5,65144
40760,Granville,2/1/22,1712.3,1675.5,1100,45348
40880,Thorndale,2/1/22,1196.3,840.5,640,29848
41380,Bryn Mawr,2/1/22,1707.9,1292.8,1009.8,43368
40340,Berwyn,2/1/22,0,0,0,0
41200,Argyle,2/1/22,1765.6,1859.3,1256.3,47773
40770,Lawrence,2/1/22,0,0,0,0
40540,Wilson,2/1/22,3722,3037.8,2294.5,95769
40080,Sheridan,2/1/22,1857,1517,1110.3,47649
41420,Addison-North Main,2/1/22,2619.9,2544,1844.8,69952
41320,Belmont-North Main,2/1/22,4757.6,5923.3,4151.3,135449
41220,Fullerton,2/1/22,6111.7,4179.8,3005.5,150975
40650,North/Clybourn,2/1/22,2171.9,1872.8,1463,56781
40630,Clark/Division,2/1/22,3416.1,3018.5,2270,89476
41450,Chicago/State,2/1/22,5169.9,4346.5,3322.5,134074
40330,Grand/State,2/1/22,3179,4361.5,3237,93973
41660,Lake/State,2/1/22,6374.9,5379,3873.5,164508
41090,Monroe/State,2/1/22,2440.9,1738.3,1203,60582
40560,Jackson/State,2/1/22,2791.1,1396,1092,65774
41490,Harrison,2/1/22,1876.2,1551,1121,48211
41400,Roosevelt,2/1/22,4546.7,3859.3,2882,117898
41000,Cermak-Chinatown,2/1/22,1533,2011.5,1924,46402
40190,Sox-35th-Dan Ryan,2/1/22,1450.9,808.3,663.3,34903
41230,47th-Dan Ryan,2/1/22,1130.1,770.5,612.3,28132
