ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10364612,HY556537,12/31/2015 08:52:00 PM,003XX E 51ST ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA STATION,true,false,0231,002,3,40,26,1179089,1871272,2015,02/10/2018 03:50:01 PM,41.802062624,-87.618732403,"(41.802062624, -87.618732403)"
10365652,HZ101327,12/31/2015 05:30:00 PM,016XX W DIVISION ST,0880,THEFT,PURSE-SNATCHING,CTA TRAIN,false,false,1424,014,1,24,06,1165424,1908071,2015,02/10/2018 03:50:01 PM,41.903343349,-87.667801443,"(41.903343349, -87.667801443)"
10365592,HZ101276,12/31/2015 03:30:00 PM,039XX W MAYPOLE AVE,0810,THEFT,OVER $500,CTA GARAGE / OTHER PROPERTY,false,false,1122,011,28,26,06,1150269,1900928,2015,02/10/2018 03:50:01 PM,41.884051362,-87.72365569,"(41.884051362, -87.72365569)"
10372080,HZ107865,12/31/2015 02:45:00 PM,056XX S KILPATRICK AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA TRAIN,false,false,0813,008,23,56,14,1146073,1866900,2015,02/10/2018 03:50:01 PM,41.790754583,-87.739927261,"(41.790754583, -87.739927261)"
10364069,HY555940,12/31/2015 10:00:00 AM,015XX N CLYBOURN AVE,0870,THEFT,POCKET-PICKING,CTA PLATFORM,false,false,1822,018,43,8,06,1170470,1910783,2015,02/10/2018 03:50:01 PM,41.910676312,-87.649187069,"(41.910676312, -87.649187069)"
10364533,HY556002,12/31/2015 09:15:00 AM,001XX N STATE ST,0810,THEFT,OVER $500,CTA TRAIN,false,false,0111,001,42,32,06,1176330,1901649,2015,02/10/2018 03:50:01 PM,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
10365066,HZ100559,12/31/2015 09:00:00 AM,004XX E 63RD ST,4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,CTA BUS STOP,false,false,0313,003,20,42,26,1180098,1863330,2015,02/10/2018 03:50:01 PM,41.780245963,-87.615275297,"(41.780245963, -87.615275297)"
10363820,HY555761,12/31/2015 06:07:00 AM,009XX W ADDISON ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,CTA STATION,true,false,1923,019,44,6,08B,1169188,1924102,2015,02/10/2018 03:50:01 PM,41.947252263,-87.65350869,"(41.947252263, -87.65350869)"
10363813,HY555763,12/31/2015 04:30:00 AM,033XX W LAWRENCE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,false,false,1713,017,33,14,14,1153007,1931688,2015,02/10/2018 03:50:01 PM,41.968405527,-87.712783941,"(41.968405527, -87.712783941)"
10363802,HY555626,12/30/2015 11:30:00 PM,005XX S WESTERN AVE,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,1135,011,2,28,06,1160480,1897540,2015,02/10/2018 03:50:01 PM,41.874549196,-87.686253503,"(41.874549196, -87.686253503)"
10364532,HY555930,12/30/2015 06:10:00 PM,011XX S COLUMBUS DR,0870,THEFT,POCKET-PICKING,CTA BUS STOP,false,false,0114,001,2,32,06,,,2015,01/07/2016 04:14:34 PM,,,
10363355,HY555140,12/30/2015 03:30:00 PM,063XX S HALSTED ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,0723,007,20,68,06,1172055,1862918,2015,02/10/2018 03:50:01 PM,41.779295906,-87.644774188,"(41.779295906, -87.644774188)"
10363539,HY555138,12/30/2015 03:25:00 PM,030XX S ASHLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,CTA BUS STOP,false,false,0913,009,11,31,14,1166157,1884604,2015,02/10/2018 03:50:01 PM,41.83893231,-87.665779349,"(41.83893231, -87.665779349)"
10363377,HY555120,12/30/2015 03:00:00 PM,035XX S COTTAGE GROVE AVE,0560,ASSAULT,SIMPLE,CTA BUS,false,true,0212,002,4,36,08A,1181286,1881718,2015,02/10/2018 03:50:01 PM,41.830676853,-87.610352872,"(41.830676853, -87.610352872)"
10363333,HY555069,12/30/2015 02:00:00 PM,010XX W ARMITAGE AVE,0810,THEFT,OVER $500,CTA TRAIN,false,false,1811,018,43,7,06,1169241,1913479,2015,02/10/2018 03:50:01 PM,41.918101097,-87.653623444,"(41.918101097, -87.653623444)"
10365181,HZ100575,12/30/2015 02:00:00 PM,024XX W LAWRENCE AVE,0820,THEFT,$500 AND UNDER,CTA BUS,false,false,2031,020,47,4,06,1159417,1931811,2015,02/10/2018 03:50:01 PM,41.968613226,-87.689211248,"(41.968613226, -87.689211248)"
10363291,HY554963,12/30/2015 01:20:00 PM,054XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,CTA BUS,false,false,0231,002,3,40,08B,1179859,1868731,2015,02/10/2018 03:50:01 PM,41.795072291,-87.615986295,"(41.795072291, -87.615986295)"
10363111,HY554832,12/30/2015 11:55:00 AM,005XX S KEDZIE AVE,1330,CRIMINAL TRESPASS,TO LAND,CTA STATION,false,false,1134,011,24,27,26,1155124,1897322,2015,02/10/2018 03:50:01 PM,41.874060099,-87.705924314,"(41.874060099, -87.705924314)"
10362869,HY554661,12/30/2015 08:50:00 AM,011XX W WILSON AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA STATION,true,false,1913,019,46,3,11,1167916,1930703,2015,02/10/2018 03:50:01 PM,41.965393249,-87.657992984,"(41.965393249, -87.657992984)"
10363972,HY555838,12/30/2015 07:30:00 AM,003XX E GARFIELD BLVD,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,0231,002,3,40,06,1179210,1868614,2015,02/10/2018 03:50:01 PM,41.794766069,-87.618369729,"(41.794766069, -87.618369729)"
